comment_score,percent_positive,percent_negative
1653,0.0,1.0
1652,0.0,1.0
1651,0.0,1.0
1650,0.0,1.0
1649,0.0,1.0
1648,0.0,1.0
1647,0.0,1.0
1646,0.0,1.0
1645,0.5,0.75
1644,0.0,1.0
1640,0.0,1.0
1639,0.0,1.0
1638,0.0,1.0
1637,1.0,1.0
1635,0.0,1.0
1634,0.0,1.0
1630,0.0,1.0
1629,0.3333333333333333,1.0
1628,0.0,1.0
1626,0.0,1.0
1623,1.0,1.0
1622,0.0,1.0
1620,0.0,1.0
1619,0.5,0.5
1618,0.0,1.0
1615,1.0,0.0
1613,0.5,1.0
1611,0.0,1.0
1610,0.0,0.0
1603,0.0,1.0
1600,0.0,1.0
1597,0.0,1.0
1596,0.0,1.0
1593,0.0,1.0
1592,1.0,1.0
1590,0.5,1.0
1589,0.3333333333333333,1.0
1588,0.0,1.0
1587,0.0,1.0
1586,0.0,1.0
1584,1.0,1.0
1583,0.0,1.0
1582,0.0,1.0
1580,0.0,1.0
1579,0.0,1.0
1576,0.0,1.0
1574,0.0,1.0
1573,0.5,1.0
1572,1.0,0.0
1571,0.0,1.0
1568,0.5,1.0
1566,0.3333333333333333,1.0
1565,0.0,1.0
1564,1.0,1.0
1563,0.0,0.0
1562,0.0,1.0
1561,0.0,1.0
1558,0.0,1.0
1557,0.0,1.0
1555,0.0,1.0
1554,0.0,1.0
1552,0.0,1.0
1551,0.0,1.0
1549,0.0,1.0
1548,0.0,1.0
1547,0.0,1.0
1545,0.0,1.0
1542,1.0,0.0
1541,0.0,1.0
1540,0.0,1.0
1538,0.0,1.0
1537,0.0,1.0
1535,1.0,1.0
1534,0.0,1.0
1533,1.0,1.0
1532,0.3333333333333333,1.0
1531,0.0,1.0
1530,0.0,1.0
1528,0.0,1.0
1526,0.0,1.0
1523,0.0,1.0
1522,0.0,1.0
1521,0.0,1.0
1520,0.0,1.0
1519,0.0,0.0
1518,0.0,1.0
1515,0.25,0.75
1514,0.0,1.0
1512,0.2,1.0
1510,1.0,1.0
1509,0.0,1.0
1508,0.5,1.0
1507,1.0,1.0
1506,0.0,1.0
1504,0.0,1.0
1502,0.0,1.0
1501,0.0,1.0
1499,0.0,1.0
1497,0.5,1.0
1496,0.5,1.0
1495,0.0,0.0
1494,1.0,1.0
1493,0.0,1.0
1492,0.0,1.0
1491,0.0,1.0
1489,0.0,0.0
1488,0.0,1.0
1487,0.0,1.0
1483,0.0,1.0
1482,0.0,1.0
1481,0.0,1.0
1479,0.3333333333333333,1.0
1478,0.0,1.0
1477,0.3333333333333333,1.0
1475,0.5,0.5
1474,0.0,1.0
1473,0.0,1.0
1472,1.0,0.5
1471,0.0,1.0
1470,0.0,1.0
1468,0.0,1.0
1467,0.3333333333333333,1.0
1466,0.5,1.0
1464,0.0,1.0
1463,1.0,1.0
1462,0.0,1.0
1459,0.0,0.0
1456,0.0,1.0
1455,0.0,1.0
1454,0.0,0.5
1453,0.0,1.0
1451,0.0,1.0
1449,0.0,1.0
1447,0.0,1.0
1446,0.0,0.6666666666666666
1445,0.5,1.0
1443,0.0,1.0
1442,1.0,1.0
1441,1.0,1.0
1440,0.0,1.0
1439,0.0,1.0
1438,0.0,1.0
1436,0.0,1.0
1434,0.0,1.0
1433,1.0,1.0
1432,1.0,1.0
1431,0.0,1.0
1430,0.3333333333333333,1.0
1429,0.0,1.0
1428,0.5,0.75
1427,0.0,1.0
1426,0.0,1.0
1423,1.0,1.0
1421,0.5,1.0
1418,0.5,1.0
1417,0.5,1.0
1416,0.0,1.0
1414,0.2,0.8
1413,0.3333333333333333,0.6666666666666666
1412,0.0,1.0
1411,1.0,1.0
1410,0.0,1.0
1409,0.2,1.0
1408,0.5,1.0
1407,0.0,1.0
1406,0.0,1.0
1405,0.0,1.0
1403,0.0,1.0
1400,0.0,1.0
1399,0.0,1.0
1398,1.0,1.0
1397,0.3333333333333333,1.0
1395,0.25,1.0
1394,0.0,1.0
1393,0.25,1.0
1392,0.0,1.0
1391,0.5,1.0
1389,0.0,0.5
1388,0.0,1.0
1387,1.0,1.0
1386,0.5,1.0
1385,0.0,1.0
1384,0.0,1.0
1383,0.5,1.0
1381,0.0,1.0
1379,0.0,0.5
1377,0.5,1.0
1376,0.0,1.0
1375,0.0,1.0
1372,0.0,1.0
1371,0.0,1.0
1370,0.0,1.0
1368,1.0,1.0
1367,0.0,1.0
1366,0.0,1.0
1364,0.6666666666666666,1.0
1363,1.0,1.0
1362,0.25,1.0
1361,0.0,1.0
1360,0.5,1.0
1359,0.0,1.0
1357,1.0,1.0
1356,0.0,0.5
1355,0.0,1.0
1353,0.3333333333333333,1.0
1351,0.0,1.0
1350,0.0,1.0
1349,0.0,1.0
1348,0.0,1.0
1347,0.2,1.0
1344,0.0,1.0
1343,1.0,1.0
1342,0.0,1.0
1341,0.4,1.0
1340,0.3333333333333333,1.0
1339,0.0,1.0
1338,0.0,1.0
1337,0.0,1.0
1335,0.3333333333333333,1.0
1334,0.5,1.0
1333,0.5,1.0
1331,0.0,1.0
1330,0.0,0.0
1329,0.0,1.0
1328,0.0,1.0
1327,0.5,1.0
1325,0.0,1.0
1323,0.3333333333333333,0.6666666666666666
1322,0.0,0.6666666666666666
1320,0.0,1.0
1319,0.0,1.0
1318,0.0,1.0
1317,0.4,1.0
1316,0.0,1.0
1315,0.5,1.0
1314,0.0,1.0
1312,0.0,1.0
1311,1.0,1.0
1310,0.3333333333333333,1.0
1309,0.0,1.0
1308,0.25,0.75
1307,0.3333333333333333,0.6666666666666666
1306,0.0,1.0
1305,0.0,1.0
1304,0.0,0.6666666666666666
1303,0.0,1.0
1302,0.5,1.0
1300,0.0,1.0
1299,0.0,1.0
1298,0.0,0.6666666666666666
1297,0.0,1.0
1296,0.25,1.0
1295,0.0,1.0
1294,0.25,1.0
1293,0.0,1.0
1292,0.0,1.0
1291,0.0,1.0
1290,0.5,1.0
1289,1.0,1.0
1288,0.0,1.0
1287,1.0,1.0
1286,0.0,1.0
1285,0.3333333333333333,1.0
1284,0.0,1.0
1283,1.0,1.0
1282,1.0,1.0
1281,0.0,1.0
1279,0.0,1.0
1278,0.0,1.0
1277,1.0,1.0
1275,0.0,1.0
1273,0.0,1.0
1272,0.5,1.0
1271,0.3333333333333333,0.6666666666666666
1270,0.0,1.0
1269,0.3333333333333333,1.0
1268,0.0,1.0
1267,0.0,1.0
1266,0.0,1.0
1265,1.0,1.0
1264,0.0,1.0
1263,0.0,1.0
1262,0.0,1.0
1261,0.0,1.0
1260,0.0,1.0
1259,0.0,1.0
1258,0.0,1.0
1257,0.0,1.0
1256,0.0,1.0
1255,0.0,1.0
1254,1.0,1.0
1253,0.0,1.0
1252,0.0,0.75
1251,0.0,1.0
1250,0.0,1.0
1249,0.0,1.0
1246,0.0,1.0
1245,0.0,1.0
1244,0.0,0.5
1243,1.0,0.6666666666666666
1242,0.0,1.0
1241,0.0,1.0
1240,0.5,1.0
1239,0.3333333333333333,1.0
1238,0.0,1.0
1236,0.0,1.0
1235,0.0,1.0
1232,0.5,1.0
1231,0.0,1.0
1230,0.3333333333333333,1.0
1229,0.5,1.0
1228,0.5,1.0
1227,0.0,1.0
1226,0.0,0.5
1225,0.0,1.0
1224,0.0,1.0
1223,0.0,1.0
